number,pokemon_name,pic_url,main_type,secondary_type,region,category,height,weight,pokemon_family,attack,defense,stamina,cp_range,hp_range,capture_rate,flee_rate,male_perc,female_perc,resistance,weakness,wild_avail,egg_avail,raid_avail,research_avail,shiny,shadow,pkedex_desc,poss_attacks
107,Hitmonchan,https://static.wikia.nocookie.net/pokemongo/images/7/73/Hitmonchan.png,Fighting,,Kanto,Punching,1.4,50.2,Tyrogue family,193,197,137,"28-2,332",12-120,20%,9%,N/A,N/A,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,"['Bullet Punch', 'Counter', 'Rock Smash', 'Close Combat', 'Fire Punch', 'Ice Punch', 'Power-Up Punch', 'Thunder Punch', 'Brick Break']"
108,Lickitung,https://static.wikia.nocookie.net/pokemongo/images/a/ab/Lickitung.png,Normal,,Kanto,Licking,1.2,65.5,Lickitung family,108,137,207,"16-1,411",19-175,20%,9%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.","['Lick', 'Zen Headbutt', 'Hyper Beam', 'Power Whip', 'Stomp', 'Body Slam']"
109,Koffing,https://static.wikia.nocookie.net/pokemongo/images/b/b2/Koffing.png,Poison,,Kanto,Poison,0.6,1,Koffing family,119,141,120,"13-1,214",11-106,50%,10%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"If Koffing becomes agitated, it raises the toxicity of its internal gases and jets them out from all over its body. This Pokémon may also overinflate its round body, then explode.","['Infestation', 'Tackle', 'Acid', 'Dark Pulse', 'Sludge', 'Sludge Bomb']"
110,Weezing,https://static.wikia.nocookie.net/pokemongo/images/8/88/Weezing.png,Poison,,Kanto,Poison,1.2,9.5,Koffing family,174,197,163,"27-2,293",15-140,20%,6%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"Standard Pokédex description
Weezing loves the gases given off by rotted kitchen garbage. This Pokémon will find a dirty, unkempt house and make it its home. At night, when the people in the house are asleep, it will go through the trash.","['Infestation', 'Tackle', 'Acid', 'Dark Pulse', 'Shadow Ball', 'Sludge Bomb', 'Thunderbolt', 'Tackle', 'Hyper Beam', 'Overheat', 'Play Rough', 'Sludge']"
111,Rhyhorn,https://static.wikia.nocookie.net/pokemongo/images/3/36/Rhyhorn.png,Ground,Rock,Kanto,Spikes,1,115,Rhyhorn family,140,127,190,"19-1,651",17-162,50%,10%,50%,50%,"{'62.5%': ['Fire', 'Flying', 'Normal', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Fighting', 'Ground', 'Ice', 'Steel'], '256%': ['Grass', 'Water']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,"Rhyhorn runs in a straight line, smashing everything in its path. It is not bothered even if it rushes headlong into a block of steel. This Pokémon may feel some pain from the collision the next day, however.","['Mud-Slap', 'Rock Smash', 'Bulldoze', 'Horn Attack', 'Stomp']"
112,Rhydon,https://static.wikia.nocookie.net/pokemongo/images/0/01/Rhydon.png,Ground,Rock,Kanto,Drill,1.9,120,Rhyhorn family,222,171,233,"39-3,179",21-195,5%,6%,50%,50%,"{'62.5%': ['Fire', 'Flying', 'Normal', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Fighting', 'Ground', 'Ice', 'Steel'], '256%': ['Grass', 'Water']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,Rhydon's horn can crush even uncut diamonds. One sweeping blow of its tail can topple a building. This Pokémon's hide is extremely tough. Even direct cannon hits don't leave a scratch.,"['Mud-Slap', 'Rock Smash', 'Earthquake', 'Stone Edge', 'Surf', 'Megahorn']"
113,Chansey,https://static.wikia.nocookie.net/pokemongo/images/2/2b/Chansey.png,Normal,,Kanto,Egg,1.1,34.6,Chansey family,60,128,487,"13-1,255",45-396,20%,9%,N/A,N/A,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.","['Pound', 'Zen Headbutt', 'Dazzling Gleam', 'Hyper Beam', 'Psychic', 'Psybeam']"
114,Tangela,https://static.wikia.nocookie.net/pokemongo/images/0/03/Tangela.png,Grass,,Kanto,Vine,1,35,Tangela family,183,169,163,"26-2,238",15-140,40%,9%,50%,50%,"{'62.5%': ['Electric', 'Grass', 'Ground', 'Water']}","{'160%': ['Bug', 'Fire', 'Flying', 'Ice', 'Poison']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.","['Infestation', 'Vine Whip', 'Grass Knot', 'Sludge Bomb', 'Solar Beam', 'Power Whip']"
115,Kangaskhan,https://static.wikia.nocookie.net/pokemongo/images/3/39/Kangaskhan.png,Normal,,Kanto,Parent,2.2,80,Kangaskhan family,181,165,233,"31-2,586",21-195,20%,9%,N/A,N/A,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes (only in Australia),No,Formerly  (3rd tier level),No,Yes,No,"Standard Pokédex description
If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon's parent is sure to be in the area, and it will become violently enraged at you.","['Low Kick', 'Mud-Slap', 'Crunch', 'Earthquake', 'Outrage', 'Power-Up Punch', 'Brick Break', 'Stomp']"
116,Horsea,https://static.wikia.nocookie.net/pokemongo/images/6/6c/Horsea.png,Water,,Kanto,Dragon,0.4,8,Horsea family,129,103,102,"11-1,056",Oct-92,50%,10%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pokémon anchors itself by wrapping its tail around rocks or coral to prevent being washed away.","['Bubble', 'Water Gun', 'Bubble Beam', 'Dragon Pulse', 'Flash Cannon']"
117,Seadra,https://static.wikia.nocookie.net/pokemongo/images/2/2d/Seadra.png,Water,,Kanto,Dragon,1.2,25,Horsea family,187,156,146,"24-2,093",13-127,20%,6%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,Seadra sleeps after wriggling itself between the branches of coral. Those trying to harvest coral are occasionally stung by this Pokémon's poison barbs if they fail to notice it.,"['Dragon Breath', 'Water Gun', 'Aurora Beam', 'Dragon Pulse', 'Hydro Pump', 'Blizzard']"
118,Goldeen,https://static.wikia.nocookie.net/pokemongo/images/9/99/Goldeen.png,Water,,Kanto,Goldfish,0.6,15,Goldeen family,123,110,128,"12-1,152",12-113,50%,15%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,No  ,Formerly ,Yes,No,"Goldeen is a very beautiful Pokémon with fins that billow elegantly in water. However, don't let your guard down around this Pokémon—it could ram you powerfully with its horn.","['Mud Shot', 'Peck', 'Aqua Tail', 'Horn Attack', 'Water Pulse']"
119,Seaking,https://static.wikia.nocookie.net/pokemongo/images/8/8b/Seaking.png,Water,,Kanto,Goldfish,1.3,39,Goldeen family,175,147,190,"25-2,162",17-162,20%,7%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,No  ,No,Yes,No,"In the autumn, Seaking males can be seen performing courtship dances in riverbeds to woo females. During this season, this Pokémon's body coloration is at its most beautiful.","['Peck', 'Waterfall', 'Poison Jab', 'Ice Beam', 'Megahorn', 'Water Pulse', 'Drill Run', 'Icy Wind']"
120,Staryu,https://static.wikia.nocookie.net/pokemongo/images/e/e8/Staryu.png,Water,,Kanto,Star,0.8,34.5,Staryu family,137,112,102,"12-1,157",Oct-92,50%,15%,N/A,N/A,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,"Staryu's center section has an organ called the core that shines bright red. If you go to a beach toward the end of summer, the glowing cores of these Pokémon look like the stars in the sky.","['Tackle', 'Water Gun', 'Quick Attack', 'Bubble Beam', 'Power Gem', 'Swift']"
121,Starmie,https://static.wikia.nocookie.net/pokemongo/images/5/56/Starmie.png,Water,Psychic,Kanto,Mysterious,1.1,80,Staryu family,210,184,155,"31-2,584",14-134,20%,6%,N/A,N/A,"{'62.5%': ['Fighting', 'Fire', 'Ice', 'Psychic', 'Steel', 'Water']}","{'160%': ['Bug', 'Dark', 'Electric', 'Ghost', 'Grass']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Starmie's center section—the core—glows brightly in seven colors. Because of its luminous nature, this Pokémon has been given the nickname “the gem of the sea.”","['Hidden Power', 'Water Gun', 'Tackle', 'Quick Attack', 'Hydro Pump', 'Ice Beam', 'Power Gem', 'Psychic', 'Thunder', 'Psybeam']"
122,Mr. Mime,https://static.wikia.nocookie.net/pokemongo/images/4/4f/Mr._Mime.png,Psychic,Fairy,Kanto,Barrier,1.3,54.5,Mr. Mime family,192,205,120,"26-2,228",11-106,30%,9%,50%,50%,"{'62.5%': ['Psychic'], '39%': ['Dragon', 'Fighting']}","{'160%': ['Ghost', 'Poison', 'Steel']}",Yes (Europe only),No,Formerly  (3rd tier level),No,Yes,No,"Standard Pokédex description
Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.","['Confusion', 'Zen Headbutt', 'Psybeam', 'Psychic', 'Shadow Ball', 'Confusion', 'Zen Headbutt', 'Ice Punch', 'Psybeam', 'Psychic']"
123,Scyther,https://static.wikia.nocookie.net/pokemongo/images/c/c2/Scyther.png,Bug,Flying,Kanto,Mantis,1.5,56,Scyther family,218,170,172,"32-2,706",16-147,30%,9%,50%,50%,"{'62.5%': ['Bug'], '39%': ['Fighting', 'Grass'], '24%': ['Ground']}","{'160%': ['Electric', 'Fire', 'Flying', 'Ice'], '256%': ['Rock']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon's scythes are so effective, they can slice through thick logs in one wicked stroke.","['Air Slash', 'Fury Cutter', 'Steel Wing', 'Aerial Ace', 'Night Slash', 'X-Scissor', 'Bug Buzz']"
124,Jynx,https://static.wikia.nocookie.net/pokemongo/images/e/e2/Jynx.png,Ice,Psychic,Kanto,Human,1.4,40.6,Jynx family,223,151,163,"30-2,555",15-140,30%,9%,N/A,N/A,"{'62.5%': ['Ice', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Fire', 'Ghost', 'Rock', 'Steel']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.","['Confusion', 'Frost Breath', 'Pound', 'Avalanche', 'Draining Kiss', 'Focus Blast', 'Psyshock', 'Ice Punch']"
125,Electabuzz,https://static.wikia.nocookie.net/pokemongo/images/3/3a/Electabuzz.png,Electric,,Kanto,Electric,1.1,30,Electabuzz family,198,158,163,"28-2,334",15-140,20%,9%,75%,25%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.","['Low Kick', 'Thunder Shock', 'Thunder', 'Thunder Punch', 'Thunderbolt']"
126,Magmar,https://static.wikia.nocookie.net/pokemongo/images/4/46/Magmar.png,Fire,,Kanto,Spitfire,1.3,44.5,Magmar family,206,154,163,"28-2,394",15-140,20%,9%,75%,25%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon's fiery bursts create heat waves that ignite grass and trees in its surroundings.","['Ember', 'Karate Chop', 'Fire Blast', 'Fire Punch', 'Flamethrower']"
127,Pinsir,https://static.wikia.nocookie.net/pokemongo/images/b/b4/Pinsir.png,Bug,,Kanto,Stag,1.5,55,Pinsir family,238,182,163,"36-2,959",15-140,30%,9%,50%,50%,"{'62.5%': ['Fighting', 'Grass', 'Ground']}","{'160%': ['Fire', 'Flying', 'Rock']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,"Standard Pokédex description
Pinsir is astoundingly strong. It can grip a foe weighing twice its weight in its horns and easily lift it. This Pokémon's movements turn sluggish in cold places.","['Bug Bite', 'Fury Cutter', 'Rock Smash', 'Close Combat', 'Superpower', 'Vise Grip', 'X-Scissor', 'Submission']"
128,Tauros,https://static.wikia.nocookie.net/pokemongo/images/9/98/Tauros.png,Normal,,Kanto,Wild,1.4,88.4,Tauros family,198,183,181,"31-2,620",17-154,30%,9%,N/A,N/A,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes (only in North America),No,Formerly  (3rd tier level),No,Yes,No,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.","['Tackle', 'Zen Headbutt', 'Earthquake', 'Horn Attack', 'Iron Head']"
129,Magikarp,https://static.wikia.nocookie.net/pokemongo/images/0/01/Magikarp.png,Water,,Kanto,Fish,0.9,10,Magikarp family,29,85,85,10-274,Oct-79,70%,15%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,Magikarp is a pathetic excuse for a Pokémon that is only capable of flopping and splashing. This behavior prompted scientists to undertake research into it.,"['Splash', 'Struggle']"
130,Gyarados,https://static.wikia.nocookie.net/pokemongo/images/d/d7/Gyarados.png,Water,Flying,Kanto,Atrocious,6.5,235,Magikarp family,237,186,216,"41-3,391",20-182,10%,7%,50%,50%,"{'62.5%': ['Bug', 'Fighting', 'Fire', 'Steel', 'Water'], '39%': ['Ground']}","{'160%': ['Rock'], '256%': ['Electric']}",Yes ,No,Formerly  (4th tier level),No,Yes,Yes,"Standard Pokédex description
When Magikarp evolves into Gyarados, its brain cells undergo a structural transformation. It is said that this transformation is to blame for this Pokémon's wildly violent nature.","['Bite', 'Dragon Breath', 'Waterfall', 'Dragon Tail', 'Crunch', 'Hydro Pump', 'Outrage', 'Twister', 'Aqua Tail', 'Dragon Pulse']"
131,Lapras,https://static.wikia.nocookie.net/pokemongo/images/3/30/Lapras.png,Water,Ice,Kanto,Transport,2.5,220,Lapras family,165,174,277,"32-2,641",26-230,5%,9%,50%,50%,"{'62.5%': ['Water'], '39%': ['Ice']}","{'160%': ['Electric', 'Fighting', 'Grass', 'Rock']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.","['Frost Breath', 'Water Gun', 'Ice Shard', 'Blizzard', 'Hydro Pump', 'Skull Bash', 'Surf', 'Dragon Pulse', 'Ice Beam']"
132,Ditto,https://static.wikia.nocookie.net/pokemongo/images/0/03/Ditto.png,Normal,,Kanto,Transform,0.3,4,Ditto family,91,91,134,10-832,12-117,20%,10%,N/A,N/A,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes (Disguised as other Pokémon),No,No  ,Formerly ,Yes,No,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.","['Transform', 'Struggle']"
133,Eevee,https://static.wikia.nocookie.net/pokemongo/images/f/f2/Eevee.png,Normal,,Kanto,Evolution,0.3,6.5,Eevee family,104,114,146,"11-1,071",13-127,40%,10%,87.50%,12.50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,Formerly  (1st tier level),Yes ,Yes,No,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.,"['Quick Attack', 'Tackle', 'Dig', 'Swift', 'Body Slam', 'Last Resort']"
134,Vaporeon,https://static.wikia.nocookie.net/pokemongo/images/f/fc/Vaporeon.png,Water,,Kanto,Bubble,1,29,Eevee family,205,161,277,"38-3,114",26-230,12.50%,6%,87.50%,12.50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,Formerly  (3rd tier level),No,Yes,No,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.,"['Water Gun', 'Aqua Tail', 'Hydro Pump', 'Water Pulse', 'Last Resort', 'Scald']"
135,Jolteon,https://static.wikia.nocookie.net/pokemongo/images/1/1e/Jolteon.png,Electric,,Kanto,Lightning,0.8,24.5,Eevee family,232,182,163,"35-2,888",15-140,12.50%,6%,87.50%,12.50%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.","['Thunder Shock', 'Volt Switch', 'Discharge', 'Thunder', 'Thunderbolt', 'Last Resort', 'Zap Cannon']"
136,Flareon,https://static.wikia.nocookie.net/pokemongo/images/1/17/Flareon.png,Fire,,Kanto,Flame,0.9,25,Eevee family,246,179,163,"37-3,029",15-140,12.50%,6%,87.50%,12.50%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Flareon's fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit.","['Ember', 'Fire Spin', 'Fire Blast', 'Flamethrower', 'Overheat', 'Heat Wave', 'Last Resort', 'Superpower']"
137,Porygon,https://static.wikia.nocookie.net/pokemongo/images/2/2d/Porygon.png,Normal,,Kanto,Virtual,0.8,36.5,Porygon family,153,136,163,"20-1,720",15-140,40%,9%,N/A,N/A,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy protected so it cannot be duplicated by copying.,"['Charge Beam', 'Hidden Power', 'Tackle', 'Zen Headbutt', 'Quick Attack', 'Hyper Beam', 'Solar Beam', 'Zap Cannon', 'Discharge', 'Psybeam', 'Signal Beam']"
138,Omanyte,https://static.wikia.nocookie.net/pokemongo/images/a/a4/Omanyte.png,Rock,Water,Kanto,Spiral,0.4,7.5,Omanyte family,155,153,111,"17-1,544",Oct-99,40%,9%,87.50%,12.50%,"{'62.5%': ['Flying', 'Ice', 'Normal', 'Poison'], '39%': ['Fire']}","{'160%': ['Electric', 'Fighting', 'Ground'], '256%': ['Grass']}",Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.","['Mud Shot', 'Water Gun', 'Ancient Power', 'Bubble Beam', 'Rock Blast', 'Brine', 'Rock Tomb']"
139,Omastar,https://static.wikia.nocookie.net/pokemongo/images/9/97/Omastar.png,Rock,Water,Kanto,Spiral,1,35,Omanyte family,207,201,172,"34-2,786",16-147,15%,5%,87.50%,12.50%,"{'62.5%': ['Flying', 'Ice', 'Normal', 'Poison'], '39%': ['Fire']}","{'160%': ['Electric', 'Fighting', 'Ground'], '256%': ['Grass']}",Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.","['Mud Shot', 'Water Gun', 'Rock Throw', 'Ancient Power', 'Hydro Pump', 'Rock Blast', 'Rock Slide']"
140,Kabuto,https://static.wikia.nocookie.net/pokemongo/images/a/a1/Kabuto.png,Rock,Water,Kanto,Shellfish,0.5,11.5,Kabuto family,148,140,102,"15-1,370",Oct-92,40%,9%,87.50%,12.50%,"{'62.5%': ['Flying', 'Ice', 'Normal', 'Poison'], '39%': ['Fire']}","{'160%': ['Electric', 'Fighting', 'Ground'], '256%': ['Grass']}",Yes ,No,Formerly  (1st tier level),Yes ,Yes,No,"Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.","['Mud Shot', 'Scratch', 'Ancient Power', 'Aqua Jet', 'Rock Tomb']"
141,Kabutops,https://static.wikia.nocookie.net/pokemongo/images/7/72/Kabutops.png,Rock,Water,Kanto,Shellfish,1.3,40.5,Kabuto family,220,186,155,"33-2,713",14-134,15%,5%,87.50%,12.50%,"{'62.5%': ['Flying', 'Ice', 'Normal', 'Poison'], '39%': ['Fire']}","{'160%': ['Electric', 'Fighting', 'Ground'], '256%': ['Grass']}",Yes ,No,Formerly  (3rd tier level),No,Yes,No,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,"['Mud Shot', 'Rock Smash', 'Waterfall', 'Fury Cutter', 'Ancient Power', 'Stone Edge', 'Water Pulse']"
142,Aerodactyl,https://static.wikia.nocookie.net/pokemongo/images/e/e6/Aerodactyl.png,Rock,Flying,Kanto,Fossil,1.8,59,Aerodactyl family,221,159,190,"33-2,783",17-162,20%,9%,87.50%,12.50%,"{'62.5%': ['Bug', 'Fire', 'Flying', 'Ground', 'Normal', 'Poison']}","{'160%': ['Electric', 'Ice', 'Rock', 'Steel', 'Water']}",Yes ,No,Formerly  (3rd tier level),Yes ,Yes,Yes,"Standard Pokédex description
Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.","['Bite', 'Rock Throw', 'Steel Wing', 'Ancient Power', 'Earth Power', 'Hyper Beam', 'Iron Head', 'Rock Slide']"
143,Snorlax,https://static.wikia.nocookie.net/pokemongo/images/0/0b/Snorlax.png,Normal,,Kanto,Sleeping,2.1,460,Snorlax family,190,169,330,"39-3,225",31-272,5%,9%,87.50%,12.50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.,"['Lick', 'Zen Headbutt', 'Yawn', 'Body Slam', 'Earthquake', 'Heavy Slam', 'Hyper Beam', 'Outrage', 'Skull Bash', 'Superpower']"
144,Articuno,https://static.wikia.nocookie.net/pokemongo/images/5/52/Articuno.png,Ice,Flying,Kanto,Freeze,1.7,55.4,Articuno family,192,236,207,"37-3,051",19-175,3%,10%,N/A,N/A,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ground']}","{'160%': ['Electric', 'Fire', 'Steel'], '256%': ['Rock']}",No ,No,Formerly  (5th tier level),No,Yes,Yes,"Articuno is a Legendary Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.","['Frost Breath', 'Ice Shard', 'Ancient Power', 'Blizzard', 'Ice Beam', 'Icy Wind', 'Hurricane']"
145,Zapdos,https://static.wikia.nocookie.net/pokemongo/images/d/d8/Zapdos.png,Electric,Flying,Kanto,Electric,1.6,52.6,Zapdos family,253,185,207,"43-3,527",19-175,3%,10%,N/A,N/A,"{'62.5%': ['Bug', 'Fighting', 'Flying', 'Grass', 'Ground', 'Steel']}","{'160%': ['Ice', 'Rock']}",No ,No,Formerly  (5th tier level),No,Yes,Yes,Zapdos is a Legendary Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.,"['Charge Beam', 'Thunder Shock', 'Ancient Power', 'Drill Peck', 'Thunder', 'Thunderbolt', 'Zap Cannon']"
146,Moltres,https://static.wikia.nocookie.net/pokemongo/images/0/01/Moltres.png,Fire,Flying,Kanto,Flame,2,60,Moltres family,251,181,207,"42-3,465",19-175,3%,10%,N/A,N/A,"{'62.5%': ['Fairy', 'Fighting', 'Fire', 'Ground', 'Steel'], '39%': ['Bug', 'Grass']}","{'160%': ['Electric', 'Water'], '256%': ['Rock']}",No ,No,Formerly  (5th tier level),No,Yes,Yes,"Moltres is a Legendary Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.","['Fire Spin', 'Wing Attack', 'Ancient Power', 'Fire Blast', 'Heat Wave', 'Overheat', 'Sky Attack']"
147,Dratini,https://static.wikia.nocookie.net/pokemongo/images/9/99/Dratini.png,Dragon,,Kanto,Dragon,1.8,3.3,Dratini family,119,91,121,"11-1,004",11-107,40%,9%,50%,50%,"{'62.5%': ['Electric', 'Fire', 'Grass', 'Water']}","{'160%': ['Dragon', 'Fairy', 'Ice']}",Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,"['Dragon Breath', 'Iron Tail', 'Aqua Tail', 'Twister', 'Wrap']"
148,Dragonair,https://static.wikia.nocookie.net/pokemongo/images/5/5a/Dragonair.png,Dragon,,Kanto,Dragon,4,16.5,Dratini family,163,135,156,"20-1,780",14-135,10%,6%,50%,50%,"{'62.5%': ['Electric', 'Fire', 'Grass', 'Water']}","{'160%': ['Dragon', 'Fairy', 'Ice']}",Yes ,No,No  ,No,Yes,Yes,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,"['Dragon Breath', 'Iron Tail', 'Aqua Tail', 'Dragon Pulse', 'Wrap']"
149,Dragonite,https://static.wikia.nocookie.net/pokemongo/images/a/a6/Dragonite.png,Dragon,Flying,Kanto,Dragon,2.2,210,Dratini family,263,198,209,"47-3,792",19-177,5%,5%,50%,50%,"{'62.5%': ['Bug', 'Fighting', 'Fire', 'Water'], '39%': ['Grass', 'Ground']}","{'160%': ['Dragon', 'Fairy', 'Rock'], '256%': ['Ice']}",Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.,"['Dragon Breath', 'Dragon Tail', 'Steel Wing', 'Dragon Claw', 'Hurricane', 'Hyper Beam', 'Outrage', 'Draco Meteor', 'Dragon Pulse']"
